iter	Accuracy	MultiClass
0	0.3728378378	1.097904759
1	0.3728603604	1.097902471
2	0.3780855856	1.097726094
3	0.3883783784	1.097347131
4	0.3874774775	1.097343964
5	0.3880630631	1.097311557
6	0.3890765766	1.097208685
7	0.3902027027	1.097162197
8	0.392027027	1.09709935
9	0.4004279279	1.096709365
10	0.3997972973	1.096705348
11	0.3996846847	1.096694898
12	0.3997747748	1.096618457
13	0.4073198198	1.096064432
14	0.409009009	1.095904334
15	0.4106306306	1.095746339
16	0.415045045	1.095396303
17	0.414481982	1.095392396
18	0.4141441441	1.0953405
19	0.4139414414	1.095340391
20	0.4144369369	1.095156839
21	0.4138063063	1.0951537
22	0.4131531532	1.095150828
23	0.4163063063	1.094948646
24	0.4162837838	1.09494858
25	0.4162387387	1.094921517
26	0.4167342342	1.094792742
27	0.4163738739	1.094746702
28	0.4163963964	1.094746658
29	0.4153603604	1.094729082
30	0.4151126126	1.094712762
31	0.4187612613	1.094460538
32	0.4203378378	1.094236184
33	0.4202027027	1.094234968
34	0.4235810811	1.093888589
35	0.4233108108	1.093874034
36	0.4228378378	1.093869138
37	0.4250675676	1.093596544
38	0.425	1.093596401
39	0.424954955	1.093595026
40	0.4252252252	1.093593677
41	0.4246171171	1.093549739
42	0.424527027	1.093545109
43	0.4270495495	1.093318082
44	0.426509009	1.093309024
45	0.4265990991	1.09330642
46	0.4266216216	1.093306208
47	0.4264414414	1.093165265
48	0.4261036036	1.093046326
49	0.4262612613	1.093046124
50	0.4260585586	1.093037964
51	0.4256756757	1.092955559
52	0.4257207207	1.092880949
53	0.4272297297	1.092812571
54	0.4272747748	1.092811554
55	0.4281981982	1.092676462
56	0.431036036	1.092215299
57	0.4311711712	1.092109188
58	0.4304279279	1.092095369
59	0.431463964	1.092013532
60	0.4314414414	1.091824948
61	0.4314414414	1.091823969
62	0.4302027027	1.091770095
63	0.4453153153	1.090388493
64	0.4452927928	1.090388492
65	0.4446396396	1.090387711
66	0.4466666667	1.090143081
67	0.4482432432	1.089817897
68	0.4596846847	1.088690956
69	0.4595945946	1.088550859
70	0.4595495495	1.088547764
71	0.4595720721	1.088543683
72	0.458963964	1.088458465
73	0.4589864865	1.088458339
74	0.4588513514	1.088375325
75	0.458963964	1.088372939
76	0.4584234234	1.088371527
77	0.4584234234	1.088290574
78	0.4592117117	1.088173133
79	0.4592117117	1.088173132
80	0.4611261261	1.087827926
81	0.4618243243	1.087697906
82	0.4617342342	1.087561795
83	0.4611261261	1.087550172
84	0.4610810811	1.087550172
85	0.4609009009	1.087541553
86	0.4609009009	1.087541552
87	0.4608108108	1.087377665
88	0.462545045	1.087085551
89	0.462545045	1.087085465
90	0.4627252252	1.087048457
91	0.4627027027	1.087045186
92	0.4638513514	1.08685692
93	0.4648198198	1.086583589
94	0.4652927928	1.086575726
95	0.4653153153	1.08644512
96	0.467027027	1.086109025
97	0.4670495495	1.086107933
98	0.4668693694	1.086044521
99	0.466981982	1.085995786
100	0.4663063063	1.085784564
101	0.4662837838	1.085762164
102	0.4663063063	1.085762082
103	0.4661936937	1.085756656
104	0.466463964	1.085754197
105	0.4662612613	1.085735868
106	0.4660585586	1.085680225
107	0.4663963964	1.085630269
108	0.4665765766	1.085630017
109	0.4663063063	1.085572356
110	0.4663063063	1.085569466
111	0.466036036	1.085567351
112	0.4662387387	1.085566986
113	0.4662162162	1.085566065
114	0.465990991	1.0855583
115	0.4677927928	1.085240277
116	0.4676351351	1.085238003
117	0.4676801802	1.085116759
118	0.4679054054	1.085109451
119	0.4674774775	1.084898682
120	0.4806981982	1.083380994
121	0.4806981982	1.083380994
122	0.4823198198	1.083047163
123	0.4820045045	1.083036712
124	0.4809684685	1.082920958
125	0.4817792793	1.082674167
126	0.4827027027	1.082487587
127	0.4824774775	1.082414876
128	0.4824774775	1.082414876
129	0.4824774775	1.082414876
130	0.4825	1.082412975
131	0.4817342342	1.082186878
132	0.4829504505	1.08189988
133	0.4829954955	1.081887116
134	0.4858558559	1.081276507
135	0.4858108108	1.081262768
136	0.4857882883	1.081262684
137	0.4858108108	1.081261401
138	0.4854054054	1.081248084
139	0.4854504505	1.080979382
140	0.485472973	1.08097926
141	0.4855630631	1.080948373
142	0.4850900901	1.080866142
143	0.4850900901	1.080864043
144	0.4850900901	1.080863543
145	0.4852927928	1.080863342
146	0.4853378378	1.080863251
147	0.4852927928	1.080863128
148	0.4853603604	1.080860447
149	0.4851351351	1.080860302
150	0.4847747748	1.080827282
151	0.4874774775	1.080554277
152	0.4874324324	1.080553243
153	0.4874099099	1.080553137
154	0.4869144144	1.080430051
155	0.4961261261	1.079107714
156	0.4958558559	1.079106768
157	0.495990991	1.079026886
158	0.4954504505	1.079008615
159	0.4954504505	1.079003848
160	0.4977252252	1.078521831
161	0.4977252252	1.078397769
162	0.4979054054	1.078087962
163	0.4975	1.07793274
164	0.4978603604	1.077756234
165	0.498018018	1.07759401
166	0.4978378378	1.077585977
167	0.4976801802	1.077549173
168	0.4979054054	1.077499636
169	0.4979954955	1.077411005
170	0.4977477477	1.077399814
171	0.4978378378	1.077358321
172	0.4978378378	1.077356678
173	0.4979954955	1.077345719
174	0.4979054054	1.077343603
175	0.4979054054	1.077343603
176	0.4991666667	1.077049142
177	0.4991441441	1.077049141
178	0.4984009009	1.076916875
179	0.4995495495	1.076484413
180	0.4993693694	1.076409031
181	0.5010810811	1.075957003
182	0.503490991	1.075241924
183	0.5058333333	1.074569191
184	0.5114414414	1.073827574
185	0.5116441441	1.07375307
186	0.5116666667	1.073752456
187	0.5128378378	1.073430284
188	0.514954955	1.072886962
189	0.5149324324	1.072886962
190	0.514954955	1.072886264
191	0.5179954955	1.072019743
192	0.5179504505	1.072019743
193	0.5182207207	1.071828673
194	0.5181981982	1.071825424
195	0.5255630631	1.070751161
196	0.5250225225	1.070631443
197	0.5264414414	1.07013298
198	0.5262387387	1.070110353
199	0.5332882883	1.069189414
200	0.532972973	1.069183306
201	0.5333558559	1.068601992
202	0.5345945946	1.068299651
203	0.5345720721	1.068298913
204	0.5338738739	1.068091749
205	0.5339189189	1.067955713
206	0.5366666667	1.067155251
207	0.5370945946	1.067055546
208	0.5359459459	1.066983011
209	0.5395945946	1.065939538
210	0.5427477477	1.065451746
211	0.5422972973	1.065309671
212	0.5425	1.065146261
213	0.5424324324	1.065139558
214	0.5417342342	1.064817235
215	0.5451801802	1.064071196
216	0.5457657658	1.063852566
217	0.5474324324	1.063253861
218	0.5476351351	1.06325095
219	0.5511936937	1.062319809
220	0.5513288288	1.06196926
221	0.5520495495	1.061646124
222	0.5536711712	1.061157098
223	0.5540540541	1.060878131
224	0.554954955	1.060443538
225	0.5565540541	1.059796927
226	0.5566891892	1.05974446
227	0.5570720721	1.05955543
228	0.5590765766	1.058862358
229	0.5604054054	1.058148319
230	0.5612387387	1.057601273
231	0.5643918919	1.05668385
232	0.5645945946	1.056595899
233	0.5657207207	1.056035495
234	0.5656306306	1.055807474
235	0.5657432432	1.055805885
236	0.5666891892	1.055018578
237	0.5710135135	1.053902977
238	0.5729504505	1.05313174
239	0.5734009009	1.05282214
240	0.5733108108	1.052723064
241	0.5761261261	1.052151035
242	0.5768243243	1.051914254
243	0.5779279279	1.051037338
244	0.5796396396	1.050588737
245	0.5821621622	1.049614922
246	0.5850675676	1.048657399
247	0.5877477477	1.047888184
248	0.5894144144	1.047161361
249	0.5899774775	1.046958315
250	0.5907432432	1.046502069
251	0.591981982	1.045843534
252	0.5926351351	1.045555762
253	0.5951126126	1.0445811
254	0.596981982	1.043745928
255	0.5979054054	1.042989092
256	0.5997522523	1.042030329
257	0.6033558559	1.041258237
258	0.6038288288	1.040714785
259	0.6067342342	1.03994742
260	0.608490991	1.039370521
