iter	Passed	Remaining
0	554	443296
1	643	256685
2	1003	266501
3	1391	276847
4	1486	236298
5	1691	223797
6	2109	239020
7	2466	244168
8	2722	239246
9	3068	242391
10	3172	227532
11	3249	213396
12	3557	215359
13	3877	217691
14	4230	221383
15	4577	224290
16	4956	228304
17	5061	219899
18	5263	216375
19	5289	206283
20	5594	207546
21	5663	200294
22	5707	192809
23	6039	195264
24	6068	188112
25	6386	190119
26	6728	192635
27	6967	192101
28	6997	186035
29	7116	182645
30	7280	180607
31	7628	183079
32	7984	185575
33	8041	181181
34	8382	183220
35	8538	181212
36	8640	178191
37	8954	179565
38	9008	175785
39	9076	172456
40	9127	168974
41	9287	167626
42	9416	165772
43	9761	167722
44	9854	165328
45	9952	163132
46	9996	160155
47	10320	161680
48	10644	163139
49	10704	160561
50	10779	158313
51	11100	159670
52	11443	161285
53	11781	162760
54	11859	160638
55	12193	162002
56	12540	163472
57	12868	164623
58	12977	162990
59	13327	164371
60	13680	165738
61	13749	163658
62	14058	164463
63	14387	165458
64	14412	162973
65	14454	160756
66	14747	161338
67	15097	162516
68	15426	163427
69	15732	164070
70	15812	162352
71	15888	160647
72	16211	161449
73	16253	159462
74	16587	160348
75	16702	159117
76	16744	157220
77	17066	157973
78	17398	158787
79	17441	156975
80	17878	158699
81	18213	159477
82	18535	160117
83	18627	158777
84	18675	157093
85	18751	155681
86	18796	154048
87	19112	154639
88	19514	155893
89	19568	154371
90	19847	154633
91	19974	153720
92	20303	154350
93	20667	155227
94	20790	154288
95	21133	154979
96	21518	155950
97	21563	154463
98	21915	155179
99	22228	155596
100	22579	156266
101	22772	155834
102	22818	154413
103	22927	153440
104	22987	152154
105	23153	151591
106	23567	152634
107	23970	153591
108	24034	152364
109	24431	153251
110	24492	152028
111	24549	150803
112	24608	149613
113	24675	148488
114	24768	147532
115	25116	148101
116	25169	146929
117	25528	147545
118	25725	147217
119	26054	147641
120	26407	148188
121	26439	146934
122	26780	147400
123	26911	146709
124	27231	147050
125	27572	147492
126	27936	148041
127	28285	148499
128	28312	147270
129	28340	146061
130	28386	144964
131	28691	145197
132	29030	145586
133	29079	144529
134	29388	144767
135	29542	144239
136	29614	143317
137	29691	142435
138	29804	141734
139	30141	142095
140	30205	141174
141	30558	141601
142	30872	141840
143	30960	141041
144	31034	140190
145	31088	139258
146	31140	138331
147	31188	137399
148	31278	136658
149	31327	135753
150	31572	135697
151	31920	136083
152	31987	135266
153	32059	134483
154	32405	134850
155	32736	135142
156	32781	134258
157	33134	134634
158	33460	134892
159	33627	134510
160	33941	134713
161	34268	134960
162	34632	135344
163	34977	135643
164	35306	135876
165	35666	136220
166	35817	135764
167	36165	136050
168	36524	136372
169	36906	136770
170	37092	136440
171	37439	136697
172	37521	135988
173	37702	135641
174	37763	134870
175	37790	133985
176	38141	134249
177	38169	133379
178	38478	133492
179	38778	133568
180	39057	133572
181	39414	133835
182	39733	133963
183	40052	134088
184	40395	134286
185	40725	134436
186	40774	133661
187	41079	133728
188	41423	133915
189	41450	133076
190	41510	132355
191	41823	132442
192	41851	131626
193	42200	131821
194	42279	131173
195	42625	131355
196	42951	131470
197	43269	131557
198	43496	131363
199	43844	131534
200	43941	130948
201	44270	131056
202	44614	131204
203	44664	130490
204	44975	130537
205	45281	130569
206	45598	130627
207	45889	130609
208	46215	130686
209	46534	130740
210	46845	130768
211	47145	130763
212	47441	130741
213	47545	130195
214	47873	130259
215	48202	130324
216	48525	130369
217	48835	130377
218	48922	129789
219	49257	129860
220	49622	130006
221	49937	130017
222	50247	130012
223	50552	129991
224	50852	129957
225	51162	129944
226	51465	129909
227	51784	129915
228	52109	129933
229	52450	129985
230	52805	130069
231	53113	130035
232	53395	129937
233	53713	129922
234	54035	129916
235	54089	129263
236	54442	129328
237	54743	129267
238	55042	129200
239	55326	129095
240	55648	129076
241	55986	129092
242	56352	129170
243	56663	129118
244	56985	129089
245	57300	129042
246	57605	128970
247	57928	128936
248	58265	128933
249	58593	128906
250	58941	128920
251	59274	128898
252	59591	128839
253	59910	128784
254	60249	128768
255	60566	128702
256	60912	128699
257	61222	128615
258	61537	128539
259	61888	128537
260	62243	128540
